clean_text,conversation_id,id,,,meta.tag,reply_to,speaker,text,timestamp,vectors
"  I guess, ",4325-0,4325-1,,,"[['[ [ I guess, +', 'qy^d']]",4325-0,1632,"[ [ I guess, +",,[]
"  Because  after,  I guess after  he,  you know,  gets to a certain age shes going to have to take him to a day care. ",4325-0,4325-53,,,"[[""[ {C Because } after, + I guess after ] he, {D you know, } gets to a certain age she's going to have to take him to a day care. /"", 'qy^d']]",4325-52,1632,"[ {C Because } after, + I guess after ] he, {D you know, } gets to a certain age she's going to have to take him to a day care. /",,[]
" Uh,  the question was kind of interesting to me because I was just trying to put together a,  uh,  long term financial plan and monthly budget. The only thing I do now is,  uh,  put the data into Quicken. I dont know if you are familiar with that. ",4103-0,4103-0,,,"[['{F Uh, } the question was kind of interesting to me because I was just trying to put together a, {F uh, } long term financial plan and monthly budget.  /', 'sv'], ['The only thing I do now is, {F uh, } put the data into Quicken.  /', 'sd'], [""I don't know if you are familiar with that. /"", 'qy^d']]",,1564,"{F Uh, } the question was kind of interesting to me because I was just trying to put together a, {F uh, } long term financial plan and monthly budget.  /The only thing I do now is, {F uh, } put the data into Quicken.  /I don't know if you are familiar with that. /",,[]
"  uh,   well  thats interesting.  Im,   uh,   uh,   actually,   uh,  I  was kind of interested if you found out about the study by,  uh,  reading TELECOM DIGEST  or  was there another? ",4103-0,4103-34,,,"[[""-- {F uh, } {D well } that's interesting.  /"", '+'], [""[ I'm, + {F uh, } {F uh, } {D actually, } {F uh, } I ] was kind of interested if you found out about the study by, {F uh, } reading TELECOM DIGEST  /"", 'qy^d'], ['{C or } was there another? /', 'qrr']]",4103-33,1564,"-- {F uh, } {D well } that's interesting.  /[ I'm, + {F uh, } {F uh, } {D actually, } {F uh, } I ] was kind of interested if you found out about the study by, {F uh, } reading TELECOM DIGEST  /{C or } was there another? /",,[]
" Um,   well,  I really cant say for certain, truth be known.  Uh,  as it stands,  theres,  theres  many ways and means by which a person can be set up, both,  uh,  in a  civil,   uh,  civil  and criminal case.  I mean,  the,  uh,  documentary, the THIN BLUE LINE pretty much demonstrated that.  You know,  I dont know  for,  if  youre familiar with that or not. ",4321-0,4321-11,,,"[[""{F Um, } {D well, } I really can't say for certain, truth be known.  /"", '^h'], [""{F Uh, } as it stands, [ there's, + there's ] many ways and means by which a person can be set up, both, {F uh, } in a [ ((civil)), + {F uh, } civil ] and criminal case.  /"", 'sv'], ['{E I mean, } the, {F uh, } documentary, the THIN BLUE LINE pretty much demonstrated that.  /', 'sv'], [""{D You know, } I don't know [ for, + if ] you're familiar with that or not. /"", 'qy^d']]",4321-10,1614,"{F Um, } {D well, } I really can't say for certain, truth be known.  /{F Uh, } as it stands, [ there's, + there's ] many ways and means by which a person can be set up, both, {F uh, } in a [ ((civil)), + {F uh, } civil ] and criminal case.  /{E I mean, } the, {F uh, } documentary, the THIN BLUE LINE pretty much demonstrated that.  /{D You know, } I don't know [ for, + if ] you're familiar with that or not. /",,[]
" Oh,  are you? ",4329-0,4329-78,,,"[['{F Oh, } are you? /', 'qy^d']]",4329-77,1287,"{F Oh, } are you? /",,[]
" Well,  like what? ",4356-0,4356-6,,,"[['{D Well, } like what? /', 'qy^d']]",4356-5,1629,"{D Well, } like what? /",,[]
" Yo,   so  you  think its,  which group are you saying  is the one trying?  ",4360-0,4360-53,,,"[[""[ Yo-, + {C so } you ] think it's, - /"", 'qy^d'], ['which group are you saying #  is the one trying? # /', 'qw']]",4360-52,1599,"[ Yo-, + {C so } you ] think it's, - /which group are you saying #  is the one trying? # /",,[]
"Bye talking to someone else. Starts speaking to A  So   were,   uh,  our discussions  about,  uh,  the care of the elderly? ",4619-0,4619-0,,,"[['Bye <<talking to someone else>>.  <<Starts speaking to A>>  /', 't3'], [""{D So } [ we're, + {F uh, } our discussion's ] about, {F uh, } the care of the elderly? /"", 'qy^d']]",,1194,"Bye <<talking to someone else>>.  <<Starts speaking to A>>  /{D So } [ we're, + {F uh, } our discussion's ] about, {F uh, } the care of the elderly? /",,[]
" Uh.   But  since it was a civil case it really didnt matter,  right?  You just needed a majority? ",4036-0,4036-24,,,"[[""{F Uh. } {C But } since it was a civil case it really didn't matter, {D right? }  /"", 'qy^g'], ['You just needed a majority? /', 'qy^d']]",4036-23,1505,"{F Uh. } {C But } since it was a civil case it really didn't matter, {D right? }  /You just needed a majority? /",,[]
" What was,  what was  the other case? That was also civil? ",4036-0,4036-26,,,"[['[ What was, + what was ] the other case?  /', 'qw'], ['That was also civil? /', 'qy^d']]",4036-25,1505,"[ What was, + what was ] the other case?  /That was also civil? /",,[]
" Uh,  you thought it turned out pretty well? ",4036-0,4036-40,,,"[['{F Uh, } you thought it turned out pretty well? /', 'qy^d']]",4036-39,1505,"{F Uh, } you thought it turned out pretty well? /",,[]
" Oh,   so  it was just kind of a zoo  and  the jurors just sort of,  someone had to figure out what was going on? ",4036-0,4036-44,,,"[['{F Oh, } {C so } it was just kind of a zoo  /', 'bf'], ['{C and } the jurors just sort of, - /', 'bf'], ['someone had to figure out what was going on? /', 'qy^d']]",4036-43,1505,"{F Oh, } {C so } it was just kind of a zoo  /{C and } the jurors just sort of, - /someone had to figure out what was going on? /",,[]
" So   it work,  it did end up working  out pretty well? ",4036-0,4036-48,,,"[['{C So } [ it work-, + it did end up working ] out pretty well? /', 'qy^d']]",4036-47,1505,"{C So } [ it work-, + it did end up working ] out pretty well? /",,[]
"Yeah.  Did you,  did you  think that  C N N,   well,  the Gulf War coverage  would be kind of,  uh,  an abnormality? I just wonde, I guess. noise I would be curious to know what you thought as to how  like   say  C N N T V news compared to the three networks.  Uh,   you know  whether you thought it was more of a biased or whatever  but   I,  I  guess you wouldnt. You probably,  if you just watched it during the Gulf War, that probably  wouldnt  wouldnt  tell you much. ",4082-0,4082-46,,,"[['Yeah.  /', 'b'], ['[ Did you, + did you ] think that [ C N N, + {D well, } the Gulf War coverage ] would be kind of, {F uh, } an abnormality?  /', 'qy'], ['I just wonde-, I guess.  /', 'h'], ['<noise> I would be curious to know what you thought as to how {D like } {D say } C N N T V news compared to the three networks.  /', 'qw^d'], ['{F Uh, } {D you know } whether you thought it was more of a biased or whatever  /', 'qy^d'], [""{C but } [ I, + I ] guess you wouldn't.  /"", 'sv'], ['You probably, - /', 'sv'], [""if you just watched it during the Gulf War, that probably [ wouldn't + wouldn't ] tell you much. /"", 'sv']]",4082-45,1547,"Yeah.  /[ Did you, + did you ] think that [ C N N, + {D well, } the Gulf War coverage ] would be kind of, {F uh, } an abnormality?  /I just wonde-, I guess.  /<noise> I would be curious to know what you thought as to how {D like } {D say } C N N T V news compared to the three networks.  /{F Uh, } {D you know } whether you thought it was more of a biased or whatever  /{C but } [ I, + I ] guess you wouldn't.  /You probably, - /if you just watched it during the Gulf War, that probably [ wouldn't + wouldn't ] tell you much. /",,[]
So you can afford to get a house? ,4104-0,4104-10,,,"[['So you can afford to get a house? /', 'qy^d']]",4104-9,1508,So you can afford to get a house? /,,[]
  Oh  you dont   like country? ,4168-0,4168-15,,,"[[""# {F Oh } you don't # <laughter> like country? /"", 'qy^d']]",4168-14,1599,# {F Oh } you don't # <laughter> like country? /,,[]
"Some of them are just really rough.   So,    so   you went to school then in,  Im surprised you didnt go  to,  to  any  pa,  parties  or anything where they were playing a lot of music or stuff  or,  ",4168-0,4168-55,,,"[['Some of them are just really rough.  /', 'sv'], ['[ {D So, } + {D so } ] you went to school then in, - /', 'qy^d'], [""I'm surprised you didn't go [ to, + to ] any [ pa-, + parties ] or anything where they were playing a lot of music or stuff  /"", 'sv'], ['{C or, } -/', '%']]",4168-54,1599,"Some of them are just really rough.  /[ {D So, } + {D so } ] you went to school then in, - /I'm surprised you didn't go [ to, + to ] any [ pa-, + parties ] or anything where they were playing a lot of music or stuff  /{C or, } -/",,[]
