id,timestamp,text,speaker,reply_to,conversation_id,meta.tag,vectors,clean_text
4325-1,,"[ [ I guess, +",1632,4325-0,4325-0,"[['[ [ I guess, +', 'qy^d']]",[],"  I guess, "
4325-53,,"[ {C Because } after, + I guess after ] he, {D you know, } gets to a certain age she's going to have to take him to a day care. /",1632,4325-52,4325-0,"[[""[ {C Because } after, + I guess after ] he, {D you know, } gets to a certain age she's going to have to take him to a day care. /"", 'qy^d']]",[],"  Because  after,  I guess after  he,  you know,  gets to a certain age shes going to have to take him to a day care. "
4103-0,,"{F Uh, } the question was kind of interesting to me because I was just trying to put together a, {F uh, } long term financial plan and monthly budget.  /The only thing I do now is, {F uh, } put the data into Quicken.  /I don't know if you are familiar with that. /",1564,,4103-0,"[['{F Uh, } the question was kind of interesting to me because I was just trying to put together a, {F uh, } long term financial plan and monthly budget.  /', 'sv'], ['The only thing I do now is, {F uh, } put the data into Quicken.  /', 'sd'], [""I don't know if you are familiar with that. /"", 'qy^d']]",[]," Uh,  the question was kind of interesting to me because I was just trying to put together a,  uh,  long term financial plan and monthly budget. The only thing I do now is,  uh,  put the data into Quicken. I dont know if you are familiar with that. "
4103-34,,"-- {F uh, } {D well } that's interesting.  /[ I'm, + {F uh, } {F uh, } {D actually, } {F uh, } I ] was kind of interested if you found out about the study by, {F uh, } reading TELECOM DIGEST  /{C or } was there another? /",1564,4103-33,4103-0,"[[""-- {F uh, } {D well } that's interesting.  /"", '+'], [""[ I'm, + {F uh, } {F uh, } {D actually, } {F uh, } I ] was kind of interested if you found out about the study by, {F uh, } reading TELECOM DIGEST  /"", 'qy^d'], ['{C or } was there another? /', 'qrr']]",[],"  uh,   well  thats interesting.  Im,   uh,   uh,   actually,   uh,  I  was kind of interested if you found out about the study by,  uh,  reading TELECOM DIGEST  or  was there another? "
4321-11,,"{F Um, } {D well, } I really can't say for certain, truth be known.  /{F Uh, } as it stands, [ there's, + there's ] many ways and means by which a person can be set up, both, {F uh, } in a [ ((civil)), + {F uh, } civil ] and criminal case.  /{E I mean, } the, {F uh, } documentary, the THIN BLUE LINE pretty much demonstrated that.  /{D You know, } I don't know [ for, + if ] you're familiar with that or not. /",1614,4321-10,4321-0,"[[""{F Um, } {D well, } I really can't say for certain, truth be known.  /"", '^h'], [""{F Uh, } as it stands, [ there's, + there's ] many ways and means by which a person can be set up, both, {F uh, } in a [ ((civil)), + {F uh, } civil ] and criminal case.  /"", 'sv'], ['{E I mean, } the, {F uh, } documentary, the THIN BLUE LINE pretty much demonstrated that.  /', 'sv'], [""{D You know, } I don't know [ for, + if ] you're familiar with that or not. /"", 'qy^d']]",[]," Um,   well,  I really cant say for certain, truth be known.  Uh,  as it stands,  theres,  theres  many ways and means by which a person can be set up, both,  uh,  in a  civil,   uh,  civil  and criminal case.  I mean,  the,  uh,  documentary, the THIN BLUE LINE pretty much demonstrated that.  You know,  I dont know  for,  if  youre familiar with that or not. "
4329-78,,"{F Oh, } are you? /",1287,4329-77,4329-0,"[['{F Oh, } are you? /', 'qy^d']]",[]," Oh,  are you? "
4356-6,,"{D Well, } like what? /",1629,4356-5,4356-0,"[['{D Well, } like what? /', 'qy^d']]",[]," Well,  like what? "
4360-53,,"[ Yo-, + {C so } you ] think it's, - /which group are you saying #  is the one trying? # /",1599,4360-52,4360-0,"[[""[ Yo-, + {C so } you ] think it's, - /"", 'qy^d'], ['which group are you saying #  is the one trying? # /', 'qw']]",[]," Yo,   so  you  think its,  which group are you saying  is the one trying?  "
4619-0,,"Bye <<talking to someone else>>.  <<Starts speaking to A>>  /{D So } [ we're, + {F uh, } our discussion's ] about, {F uh, } the care of the elderly? /",1194,,4619-0,"[['Bye <<talking to someone else>>.  <<Starts speaking to A>>  /', 't3'], [""{D So } [ we're, + {F uh, } our discussion's ] about, {F uh, } the care of the elderly? /"", 'qy^d']]",[],"Bye talking to someone else. Starts speaking to A  So   were,   uh,  our discussions  about,  uh,  the care of the elderly? "
4036-24,,"{F Uh. } {C But } since it was a civil case it really didn't matter, {D right? }  /You just needed a majority? /",1505,4036-23,4036-0,"[[""{F Uh. } {C But } since it was a civil case it really didn't matter, {D right? }  /"", 'qy^g'], ['You just needed a majority? /', 'qy^d']]",[]," Uh.   But  since it was a civil case it really didnt matter,  right?  You just needed a majority? "
4036-26,,"[ What was, + what was ] the other case?  /That was also civil? /",1505,4036-25,4036-0,"[['[ What was, + what was ] the other case?  /', 'qw'], ['That was also civil? /', 'qy^d']]",[]," What was,  what was  the other case? That was also civil? "
4036-40,,"{F Uh, } you thought it turned out pretty well? /",1505,4036-39,4036-0,"[['{F Uh, } you thought it turned out pretty well? /', 'qy^d']]",[]," Uh,  you thought it turned out pretty well? "
4036-44,,"{F Oh, } {C so } it was just kind of a zoo  /{C and } the jurors just sort of, - /someone had to figure out what was going on? /",1505,4036-43,4036-0,"[['{F Oh, } {C so } it was just kind of a zoo  /', 'bf'], ['{C and } the jurors just sort of, - /', 'bf'], ['someone had to figure out what was going on? /', 'qy^d']]",[]," Oh,   so  it was just kind of a zoo  and  the jurors just sort of,  someone had to figure out what was going on? "
4036-48,,"{C So } [ it work-, + it did end up working ] out pretty well? /",1505,4036-47,4036-0,"[['{C So } [ it work-, + it did end up working ] out pretty well? /', 'qy^d']]",[]," So   it work,  it did end up working  out pretty well? "
